HumanSays:,RobotSays:
HumanSays:,RobotSays:
¿Qué hora es?,getTIME
¿Qué hora tienes?,getTIME
¿Tienes la hora?,getTIME
¿Cuándo es?,getTIME
¿Qué día es?,getDATE
¿Cuál es la fecha?,getDATE
¿Sabes qué hora es?,getTIME
¿Tienes la hora|Qué hora es,getTIME
Gracias, Por nada! Me da gusto poder ayudar... si necesitas reiniciar la conversación conmigo solo escribe "Hola"
IKnumber,Gracias por proporcionar tu número... alguien de nuestro equipo te contactará los más pronto posible para atender tus dudas...
IDKnull,No lo sé.
IDKnull,Me tomaré un tiempo para pensar en eso. ¿te puedo ayudar con otra duda?
IDKnull,¿Puedes intentar reformular eso... por favor?
IDKnull,No estoy seguro de eso... tal vez si armas de forma diferente la solicitud pueda ayudar.
IDKnull,¿Hay una forma diferente en que puedas preguntar eso?
IDKnull,No tengo una respuesta para eso creo... tal vez escrito diferente la entienda mejor.
IDKnull,Tendré que pensarlo un poco... mientras tanto puedes consultarme sobre otra cosa.
IDKnull,Realmente no sé lo que estás preguntando... pregunta algo más.
IDKnull,Hay algunas cosas que todavía no sé... prueba con otro tema o duda.
IDKnull,No puedo decirte ahora... tal vez sería mejor una cita o valoración para información con un terapeuta.
Nothing,¿Qué? No entendí... escribe otra pregunta y con gusto respondo
Nothing,Creo que presionaste las teclas equivocadas... Puedo dar info de ubicación? servicios? padecimientos que atendemos? terapias tal vez?
Nothing,¿Qué querías preguntar?
Nothing,Hablemos de algo... escribe una duda y con gusto respondo
Nothing,Una vez más hay que intentar de nuevo. Tengo info de ubicación... servicios... terapias... todo sobre Acuaquinetix... ¿qué quieres saber?
Otro,Muy bien acepto el reto... escribe una duda y con gusto responderé si encuentro información valiosa o selecciona cualquiera de las siguientes: <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Ubicación')";>Ubicación</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Servicios</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br>
¿Quién eres?,Soy un ChatBot impulsado por Python. Doy info de ubicación servicios y terapias... todo sobre Acuaquinetix
¿Qué eres?,Soy un ChatBot que funciona con Python y un toque de inteligencia artificial doy servicio al cliente de Acuaquinetix
Hola,Hola hola. Te saluda AcuaBot... listo para aclarar tus dudas sobre Acuaquinetix clínica de Acuaterapia. Selecciona un tema de consulta y con gusto te ayudo&#44; las opciones son:<br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención a padecimientos')";>Atención a padecimientos</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Otro</a><br>
Saludos,Qué tal! cómo puedo ayudar? ubicación? servicios? terapias? otra info sobre Acuaquinetix?
Quiubole qué tranza qué show,Buenas buenas... soy AcuaBot y doy info de ubicación servicios o terapias. De todo sobre Acuaquinetix. Escribe una pregunta y con gusto respondo
¿Qué tal?,Hola! Sé que voy a encontrar la manera de resolver tus dudas... ¡adelante!
¿Quién eres?,Soy un Chatbot y me llamo AcuaBot... te puedo ayudar con consultas sobre Acuaquinetix.
¿Cuál es tu nombre?,AcuaBot y con gusto puedo intentar aclarar tus dudas.
¿Dónde se encuentra Acuaquinetix?,"Acuaquinetix se encuentra en la ciudad de Ensenada Baja California MX. Si quieres saber sobre precios, servicios, dirección o algo más escribe la frase o palabra y con gusto te apoyo..."
¿Cuál es el enfoque principal de Acuaquinetix?,El enfoque principal de Acuaquinetix es la rehabilitación física y la mejora de la movilidad.
¿Qué servicios ofrece Acuaquinetix?,Acuaquinetix es un centro de acuaterapia y rehabilitación física ofrece una variedad de servicios... incluyendo rehabilitación física con natación y aprendizaje de nuevas habilidades para mejora de tu movilidad que te permiten ganar bienestar para día a día
